nombreGrupo=SiNaRaMe
idGrupo=3
nombreSensor=_Hum Ambiente
idSensor=13
intervaloTemporal=diario
fecha=2019-09


Fecha,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
137 - RMA10_CPR,144,144,143,144,144,144,144,144,144,60,0
139 - RMA10_JAR,144,143,144,144,144,144,144,144,144,60,0
136 - RMA10_PAL,141,143,144,144,144,141,139,142,141,54,0
138 - RMA10_PIG,144,144,144,144,144,144,144,144,144,60,0
140 - RMA10_PLU,144,143,143,143,143,144,143,144,144,60,0
143 - RMA11_CON,144,144,144,144,119,104,144,144,144,60,0
145 - RMA11_LAV,143,144,144,144,144,142,143,144,144,60,0
141 - RMA11_LMA,143,144,144,144,99,144,144,143,144,60,0
144 - RMA11_PHO,144,143,144,144,144,144,144,144,144,60,0
146 - RMA11_SAN,144,144,144,144,144,144,144,144,144,60,0
142 - RMA11_SMT,144,143,144,144,144,144,143,144,144,60,0
94 - RMA1_BAL,144,144,144,144,144,144,144,144,144,60,0
96 - RMA1_FDC,82,53,91,39,0,0,123,140,143,19,0
98 - RMA1_MIR,144,144,144,144,144,144,144,144,144,60,0
95 - RMA1_PIL,142,143,141,138,144,140,142,143,142,31,0
97 - RMA1_VMA,141,143,144,140,141,141,142,144,141,53,0
103 - RMA2_AKO,0,0,0,0,0,0,0,0,0,0,0
100 - RMA2_LUJ,143,144,144,143,144,144,143,144,144,60,0
102 - RMA2_QUI,0,0,0,0,0,0,0,0,0,0,0
101 - RMA2_SAG,144,144,144,144,144,144,144,144,144,60,0
99 - RMA2_ZAR,0,0,0,0,0,0,0,0,0,0,0
105 - RMA3_IBA,144,144,143,144,144,144,144,144,144,60,0
108 - RMA3_IJU,144,144,144,144,144,144,144,144,144,60,0
106 - RMA3_PIR,136,124,134,141,136,138,135,139,134,7,0
104 - RMA3_PLA,22,24,24,24,23,24,24,22,24,10,0
107 - RMA3_PZL,144,144,144,144,144,144,144,144,144,60,0
109 - RMA4_CBN,143,143,142,142,142,142,142,143,143,60,0
111 - RMA4_COL,144,143,144,144,142,142,144,144,144,60,0
112 - RMA4_LAE,144,144,144,144,144,144,144,144,144,59,0
110 - RMA4_PCH,143,144,142,142,143,144,142,143,144,60,0
113 - RMA4_PMB,144,143,143,144,144,134,126,101,36,0,0
116 - RMA5_ELD,143,144,144,144,144,144,144,144,143,60,0
114 - RMA5_SAN,144,144,143,143,144,70,0,0,0,0,0
117 - RMA5_SVI,143,144,144,143,143,144,121,131,128,55,0
115 - RMA5_URU,144,143,144,143,144,144,143,144,144,60,0
118 - RMA6_CVI,140,141,144,144,143,143,142,143,136,49,0
119 - RMA6_LPA,143,144,144,144,144,144,144,144,144,60,0
122 - RMA6_MME,144,143,142,143,143,142,144,144,144,60,0
121 - RMA6_NEC,144,138,141,143,142,144,142,71,0,0,0
120 - RMA6_PMO,144,144,144,144,144,144,144,144,142,60,0
93 - RMA7_CDP,9,1,4,12,19,9,9,4,2,0,0
123 - RMA7_ECH,137,136,141,140,138,144,129,141,141,59,0
126 - RMA7_GRO,144,144,144,144,144,144,144,144,144,60,0
124 - RMA7_PHU,137,141,142,143,143,143,140,141,142,52,0
125 - RMA7_RSA,144,144,144,143,138,144,140,140,140,59,0
128 - RMA8_BPL,144,144,144,144,144,144,144,144,144,60,0
129 - RMA8_BVI,144,144,144,144,143,141,142,144,141,60,0
127 - RMA8_CC,144,144,144,144,144,144,144,144,144,60,0
130 - RMA8_PIB,23,24,24,24,24,24,23,22,24,10,0
135 - RMA9_CKR,142,141,143,144,144,144,143,144,144,60,0
131 - RMA9_RAD,24,24,16,0,0,0,0,0,0,0,0
132 - RMA9_SSE,144,144,144,144,144,144,144,144,144,60,0
133 - RMA9_TOL,110,118,128,127,140,144,132,98,95,36,0
134 - RMA9_USH,138,87,134,99,142,140,135,141,142,58,0
